d,dr,c,tw,th,sh
0.00000,0.00000,0.21800,0.00000,0.21800,Cylinder
0.50800,0.10100,0.21800,0.00000,0.21800,Cylinder
0.66000,0.13100,0.21800,0.00000,0.21800,Cylinder
0.88300,0.17600,0.18300,0.00000,0.18300,Cylinder
1.00800,0.20000,0.34900,6.70000,0.16300,Transition
1.06700,0.21200,0.44100,9.90000,0.15400,Transition
1.13300,0.22500,0.54400,13.40000,0.15400,Transition
1.25700,0.25000,0.73700,20.04000,0.15400,s809
1.34300,0.26700,0.72800,18.07400,0.15300,s809
1.51000,0.30000,0.71100,14.29200,0.14900,s809
1.64800,0.32800,0.69700,11.90900,0.14600,s809
1.80000,0.35792,0.68178,9.82750,0.14276,s809
1.95200,0.38800,0.66600,7.97900,0.14000,s809
2.25700,0.44900,0.63600,5.30800,0.13300,s809
2.56200,0.50900,0.60500,3.42500,0.12700,s809
2.86700,0.57000,0.57400,2.08300,0.12000,s809
3.17200,0.63100,0.54300,1.15000,0.11400,s809
3.47600,0.69100,0.51200,0.49400,0.10700,s809
3.78100,0.75200,0.48200,-0.01500,0.10100,s809
4.02300,0.80000,0.45700,-0.38100,0.09600,s809
4.08600,0.81200,0.45100,-0.47500,0.09400,s809
4.39100,0.87300,0.42000,-0.92000,0.08800,s809
4.69600,0.93400,0.38900,-1.35200,0.08100,s809
4.78000,0.95000,0.38100,-1.46900,0.08000,s809
4.93800,0.98190,0.36470,-1.68584,0.07646,s809
4.98350,0.99095,0.35985,-1.75042,0.07523,s809
5.02900,1.00000,0.35500,-1.81500,0.07400,s809
