x,y,z
1,0,0
0.995605982,0.09364149,0
0.982462543,0.186460054,0
0.960685188,0.277640001,0
0.930465296,0.366380038,0
0.892068443,0.451900314,0
0.845832059,0.533449274,0
0.792162473,0.610310262,0
0.731531335,0.681807822,0
0.664471473,0.74731363,0
0.591572212,0.806252019,0
0.513474194,0.858105036,0
0.430863745,0.902416995,0
0.34446685,0.938798482,0
0.255042769,0.966929773,0
0.163377362,0.986563651,0
0.070276189,0.997527572,0
-0.023442574,0.999725185,0
-0.116955322,0.993137177,0
-0.209440263,0.977821444,0
-0.300084635,0.953912581,0
-0.388091853,0.9216207,0
-0.472688505,0.881229582,0
-0.553131154,0.833094188,0
-0.628712867,0.777637532,0
-0.698769428,0.71534697,0
-0.762685178,0.646769912,0
-0.819898424,0.572509017,0
-0.869906372,0.493216893,0
-0.912269553,0.40959036,0
-0.946615675,0.322364333,0
-0.972642905,0.232305357,0
-0.990122515,0.140204872,0
-0.998900891,0.046872262,0
-0.998900891,-0.046872262,0
-0.990122515,-0.140204872,0
-0.972642905,-0.232305357,0
-0.946615675,-0.322364333,0
-0.912269553,-0.40959036,0
-0.869906372,-0.493216893,0
-0.819898424,-0.572509017,0
-0.762685178,-0.646769912,0
-0.698769428,-0.71534697,0
-0.628712867,-0.777637532,0
-0.553131154,-0.833094188,0
-0.472688505,-0.881229582,0
-0.388091853,-0.9216207,0
-0.300084635,-0.953912581,0
-0.209440263,-0.977821444,0
-0.116955322,-0.993137177,0
-0.023442574,-0.999725185,0
0.070276189,-0.997527572,0
0.163377362,-0.986563651,0
0.255042769,-0.966929773,0
0.34446685,-0.938798482,0
0.430863745,-0.902416995,0
0.513474194,-0.858105036,0
0.591572212,-0.806252019,0
0.664471473,-0.74731363,0
0.731531335,-0.681807822,0
0.792162473,-0.610310262,0
0.845832059,-0.533449274,0
0.892068443,-0.451900314,0
0.930465296,-0.366380038,0
0.960685188,-0.277640001,0
0.982462543,-0.186460054,0
0.995605982,-0.09364149,0
1,-2.45E-16,0
