x,y,z
0,-1,0
0.104528463,-0.994521895,0
0.207911691,-0.978147601,0
0.309016994,-0.951056516,0
0.406736643,-0.913545458,0
0.5,-0.866025404,0
0.587785252,-0.809016994,0
0.669130606,-0.743144826,0
0.743144826,-0.669130606,0
0.809016994,-0.587785252,0
0.866025404,-0.5,0
0.913545458,-0.406736643,0
0.951056516,-0.309016994,0
0.978147601,-0.207911691,0
0.994521895,-0.104528463,0
1,0,0
0.994521895,0.104528463,0
0.978147601,0.207911691,0
0.951056516,0.309016994,0
0.913545458,0.406736643,0
0.866025404,0.5,0
0.809016994,0.587785252,0
0.743144826,0.669130606,0
0.669130606,0.743144826,0
0.587785252,0.809016994,0
0.5,0.866025404,0
0.406736643,0.913545458,0
0.309016994,0.951056516,0
0.207911691,0.978147601,0
0.104528463,0.994521895,0
0,1,0
-0.104528463,0.994521895,0
-0.207911691,0.978147601,0
-0.309016994,0.951056516,0
-0.406736643,0.913545458,0
-0.5,0.866025404,0
-0.587785252,0.809016994,0
-0.669130606,0.743144826,0
-0.743144826,0.669130606,0
-0.809016994,0.587785252,0
-0.866025404,0.5,0
-0.913545458,0.406736643,0
-0.951056516,0.309016994,0
-0.978147601,0.207911691,0
-0.994521895,0.104528463,0
-1,0,0
-0.994521895,-0.104528463,0
-0.978147601,-0.207911691,0
-0.951056516,-0.309016994,0
-0.913545458,-0.406736643,0
-0.866025404,-0.5,0
-0.809016994,-0.587785252,0
-0.743144826,-0.669130606,0
-0.669130606,-0.743144826,0
-0.587785252,-0.809016994,0
-0.5,-0.866025404,0
-0.406736643,-0.913545458,0
-0.309016994,-0.951056516,0
-0.207911691,-0.978147601,0
-0.104528463,-0.994521895,0
0,-1,0
